"Location","MinTemp","MaxTemp","Rainfall","WindGustDir","WindGustSpeed","Humidity3pm","Pressure9am","Pressure3pm","Temp9am","Temp3pm"
"Albury",9.2,28,0,"NE",24,16,1017.6,1012.8,18.1,26.5
"Albury",14.3,25,0,"W",50,19,1009.6,1008.2,18.1,24.6
"Albury",7.7,26.7,0,"W",35,19,1013.4,1010.1,16.3,25.5
"Albury",9.7,31.9,0,"NNW",80,9,1008.9,1003.6,18.3,30.2
"Albury",12.6,32.4,0,"W",43,17,1012.9,1010.1,21.5,31.2
"Albury",16.2,33.9,0,"WSW",35,19,1010.9,1007.6,23.2,33
"Albury",20.1,32.7,0,"WNW",48,15,1005.2,1001.7,24.6,32.1
"Albury",12.3,34.6,0,"WNW",37,12,1015.1,1010.3,20.7,33.9
"Albury",12.9,35.8,0,"WNW",41,9,1012.6,1009.2,22.4,34.4
"Albury",13.7,37.9,0,"W",52,8,1010.9,1006.7,23.1,36.8
"Albury",16.1,38.9,0,"W",57,12,1007,1002.7,25.2,38.4
"Albury",14,28.3,0,"W",48,15,1011.9,1010.9,17.9,27.6
"Albury",12.5,28.4,0,"NE",37,16,1017.8,1013.7,17.2,26.6
"Albury",17.3,34.7,0,"SW",35,16,1014.1,1012.1,24.2,33.2
"Albury",17.2,37.7,0,"NNW",35,19,1015.7,1010.9,24.3,35.7
"Albury",17.4,43,0,"NW",39,8,1011.6,1006.9,25.6,41.5
"Albury",10.5,28.4,0,"SE",33,16,1019.7,1017.4,16,25.8
"Albury",11.3,32.2,0,"WNW",28,17,1019.7,1016.2,20.9,30.5
"Albury",13.9,36.6,0,"WNW",39,10,1015.8,1010.6,22,34.4
